AuthorID,FirstName,LastName,Nationality
1,Haruki,Murakami,Japan
2,Helle,Helle,Denmark
3,Ernest,Hemingsway,USA
4,Georges,Simenon,Belgium
5,Martin,Simon,Denmark
6,Avi,Silberschatz,USA
7,Henry,Korth,USA
8,S.,Sudarshan,USA
9,Paul,Auster,USA
10,Martha, Kelly,United Kingdom
11,Deborah,Levy,Australia
12,Valeria,Luiselli,France
13,Neil,Gaiman,USA
14,Jim,Crace,NULL
15,Ted,Chiang,China
16,Kate,Pickett,United Kingdom
17,Yuri,Herrera,Israel
18,Daniel,Kahneman,Sweden
19,Olga,Tokarczuk,Norway
20,Sebastian,Barry,USA
21,Barbara,Demick,USA
22,Shoshana,Zuboff,Jordan
23,Chris,Ware,USA
24,Zov,Heller,Belgium
25,John,Carrist,Canada
